,count,probability,russian,english
0,5,0.3125,первый_ADJF,part_NOUN
1,17,0.044,егор_NOUN,yegor_NOUN
2,17,0.044,егор_NOUN,said_VERB
3,5,0.013,егор_NOUN,asked_VERB
4,5,0.013,егор_NOUN,uncle_NOUN
5,6,0.023,кузнецов_NOUN,nikolai_NOUN
6,4,0.0153,кузнецов_NOUN,kuznetsov_NOUN
7,5,0.0008,давно_ADVB,ever_ADVB
8,1388,0.213,давно_ADVB,long_ADVB
9,4,0.0006,давно_ADVB,anyone_NOUN
10,3,0.0005,давно_ADVB,wife_NOUN
11,6,0.0009,давно_ADVB,done_VERB
12,3,0.0005,давно_ADVB,home_NOUN
13,142,0.0218,давно_ADVB,time_NOUN
14,4,0.0006,давно_ADVB,waiting_VERB
15,3,0.0005,давно_ADVB,evidently_ADVB
16,5,0.0008,давно_ADVB,man_NOUN
17,14,0.0021,давно_ADVB,known_VERB
18,4,0.0006,давно_ADVB,always_ADVB
19,6,0.0009,давно_ADVB,seen_VERB
20,3,0.0005,давно_ADVB,often_ADVB
21,5,0.0008,давно_ADVB,work_NOUN
22,18,0.0028,давно_ADVB,ago_ADVB
23,4,0.0006,давно_ADVB,something_NOUN
24,13,0.002,давно_ADVB,would_None
25,50,0.0077,давно_ADVB,since_PREP
26,16,0.0025,давно_ADVB,already_ADVB
27,3,0.0005,давно_ADVB,certain_ADJF
28,8,0.0012,давно_ADVB,u_NOUN
29,5,0.0008,давно_ADVB,bed_NOUN
30,10,0.0015,давно_ADVB,must_None
31,8,0.0012,давно_ADVB,people_NOUN
32,3,0.0005,давно_ADVB,knew_NOUN
33,6,0.0009,давно_ADVB,away_ADVB
34,3,0.0005,давно_ADVB,loose_ADJF
35,8,0.0012,давно_ADVB,quite_ADVB
36,3,0.0005,давно_ADVB,living_NOUN
37,19,0.0029,давно_ADVB,died_VERB
38,3,0.0005,давно_ADVB,place_NOUN
39,5,0.0008,давно_ADVB,ill_NOUN
40,6,0.0009,давно_ADVB,many_ADJF
41,14,0.0021,давно_ADVB,age_NOUN
42,4,0.0006,давно_ADVB,finished_VERB
43,4,0.0006,давно_ADVB,happened_VERB
44,3,0.0005,давно_ADVB,never_ADVB
45,8,0.0012,давно_ADVB,left_NOUN
46,10,0.0015,давно_ADVB,year_NOUN
47,5,0.0008,давно_ADVB,mind_NOUN
48,6,0.0009,давно_ADVB,heart_NOUN
49,6,0.0009,давно_ADVB,might_None
50,5,0.0008,давно_ADVB,married_ADJF
51,4,0.0006,давно_ADVB,fellow_NOUN
52,3,0.0005,давно_ADVB,son_NOUN
53,3,0.0005,давно_ADVB,last_ADJF
54,3,0.0005,давно_ADVB,day_NOUN
55,9,0.0014,давно_ADVB,one_NUMR
56,8,0.0012,давно_ADVB,ready_ADJF
57,3,0.0005,давно_ADVB,way_NOUN
58,6,0.0009,давно_ADVB,noticed_VERB
59,3,0.0005,давно_ADVB,book_NOUN
60,4,0.0006,давно_ADVB,asleep_NOUN
61,4,0.0006,давно_ADVB,heard_NOUN
62,3,0.0005,давно_ADVB,decided_VERB
63,3,0.0005,давно_ADVB,begun_VERB
64,3,0.0005,давно_ADVB,woman_NOUN
65,3,0.0005,давно_ADVB,closed_VERB
66,3,0.0005,давно_ADVB,ivanovich_NOUN
67,3,0.0005,давно_ADVB,awake_NOUN
68,3,0.0005,давно_ADVB,party_NOUN
69,3,0.0005,давно_ADVB,probably_ADVB
70,3,0.0005,давно_ADVB,wait_NOUN
71,6,0.0009,давно_ADVB,dead_ADJF
72,3,0.0005,давно_ADVB,abandoned_VERB
73,5,0.0008,давно_ADVB,hungry_NOUN
74,3,0.0005,давно_ADVB,room_NOUN
75,4,0.0006,давно_ADVB,sun_NOUN
76,3,0.0005,давно_ADVB,girl_NOUN
77,3,0.0005,давно_ADVB,hunger_NOUN
78,3,0.0005,давно_ADVB,husband_NOUN
